x1,x2,x3,x4,x5,x6,x7,x8,y
0.538,1185,0.5737 ,1059,0.5784,0.0576 ,0.0446 ,32,0.2793
0.553,1209,0.5566 ,1566,0.5524,0.0602 ,0.0429 ,34,0.276
0.568,1227,0.5588 ,2558,0.5862,0.0628 ,0.0478 ,37,0.2814
0.582,1243,0.5483 ,3396,0.5895,0.0704 ,0.0500 ,40,0.2819
0.596,1261,0.5327 ,5167,0.664,0.0749 ,0.0508 ,43,0.2979
0.609,1187,0.5345 ,7150,0.6567,0.0741 ,0.0474 ,45,0.2993
0.622,1214,0.5389 ,10375,0.643,0.0828 ,0.0466 ,48,0.2964
0.634,1239,0.5491 ,16598,0.6577,0.0852 ,0.0438 ,49,0.3497
0.646,1259,0.5358 ,9467,0.8112,0.0877 ,0.0532 ,49,0.3892
0.657,1277,0.5190 ,10246,0.71,0.0938 ,0.0333 ,50,0.3727
0.668,1302,0.5427 ,10365,0.7069,0.0961 ,0.0333 ,50,0.3962
0.677,1310,0.5419 ,9035,0.8036,0.0956 ,0.0327 ,51,0.4077
0.685,1318,0.5348 ,6037,0.75,0.0984 ,0.0299 ,52,0.4051
0.378,443,0.5495 ,149,1.1096,0.0200 ,0.0709 ,34,0.2594
0.401,443,0.5717 ,202,1.1234,0.0222 ,0.0699 ,35,0.2845
0.421,443,0.5715 ,268,1.1158,0.0232 ,0.0663 ,35,0.31
0.439,444,0.5729 ,525,1.2067,0.0252 ,0.0544 ,36,0.328
0.456,445,0.5845 ,761,1.3562,0.0269 ,0.0475 ,38,0.334
0.476,447,0.5758 ,984,1.3069,0.0281 ,0.0464 ,39,0.3646
0.493,449,0.5534 ,1531,1.2425,0.0302 ,0.0417 ,41,0.3678
0.508,449,0.5504 ,2075,1.209,0.0314 ,0.0411 ,43,0.3661
0.523,451,0.5412 ,3645,1.2777,0.0329 ,0.0384 ,46,0.3787
0.537,453,0.5426 ,5466,1.338,0.0347 ,0.0331 ,44,0.3849
0.551,453,0.5311 ,5804,1.4309,0.0357 ,0.0297 ,50,0.401
0.564,455,0.5229 ,6155,1.3667,0.0372 ,0.0293 ,48,0.3941
0.577,457,0.5218 ,10675,1.3689,0.0397 ,0.0283 ,59,0.3832
0.589,459,0.5177 ,15836,1.3847,0.0419 ,0.0309 ,63,0.4049
0.601,460,0.5123 ,6741,1.4771,0.0428 ,0.0426 ,68,0.4263
0.612,461,0.4991 ,9779,1.4394,0.0435 ,0.0264 ,69,0.4291
0.623,461,0.5091 ,5928,1.2684,0.0445 ,0.0233 ,75,0.4317
0.632,462,0.5065 ,7112,1.5542,0.0453 ,0.0287 ,75,0.4439
0.64,462,0.4928 ,4220,1.5672,0.0467 ,0.0101 ,80,0.4338
0.412,532,0.6034 ,335,1.0513,0.0266 ,0.0431 ,28,0.2053
0.435,545,0.6038 ,471,1.0099,0.0273 ,0.0400 ,29,0.2079
0.455,555,0.6036 ,598,0.9316,0.0296 ,0.0387 ,30,0.2118
0.473,562,0.5931 ,742,1.0035,0.0292 ,0.0240 ,30,0.2419
0.49,570,0.5803 ,1032,1.0568,0.0299 ,0.0236 ,31,0.2478
0.51,595,0.5667 ,960,1.1486,0.0299 ,0.0237 ,32,0.2604
0.527,598,0.5586 ,1511,1.0568,0.0321 ,0.0168 ,34,0.2763
0.542,599,0.5467 ,2360,1.0487,0.0346 ,0.0182 ,38,0.2791
0.557,598,0.5390 ,2456,1.065,0.0357 ,0.0141 ,41,0.283
0.571,599,0.5290 ,3649,1.092,0.0355 ,0.0111 ,42,0.2995
0.585,600,0.5151 ,5423,1.1613,0.0368 ,0.0149 ,47,0.3176
0.598,602,0.5078 ,9836,1.1686,0.0377 ,0.0119 ,51,0.3299
0.611,605,0.4985 ,12717,1.0892,0.0419 ,0.0179 ,54,0.3207
0.623,608,0.0489 ,8778,1.1103,0.0435 ,0.0176 ,54,0.3579
0.635,635,0.4754 ,7619,1.2129,0.0459 ,0.0080 ,54,0.3726
0.646,639,0.4539 ,11634,1.2275,0.0495 ,0.0584 ,61,0.3729
0.657,645,0.4728 ,10030,1.1833,0.0515 ,0.0504 ,61,0.3944
0.666,647,0.4881 ,7577,1.4902,0.0501 ,0.0097 ,62,0.4166
0.674,652,0.4786 ,4454,1.3454,0.0508 ,0.0087 ,65,0.4115
0.395,453,0.5324 ,735,1.1866,0.0232 ,0.0299 ,25,0.2192
0.418,460,0.5399 ,409,1.1512,0.0238 ,0.0286 ,26,0.2565
0.438,466,0.5414 ,423,1.1391,0.0258 ,0.0238 ,26,0.2637
0.456,471,0.5386 ,559,1.1493,0.0264 ,0.0211 ,27,0.2762
0.473,476,0.5095 ,622,1.2791,0.0272 ,0.0159 ,29,0.2868
0.493,490,0.5019 ,756,1.3565,0.0282 ,0.0117 ,31,0.2911
0.51,514,0.4852 ,1410,1.2654,0.0292 ,0.0067 ,31,0.2974
0.525,534,0.4778 ,1779,1.2656,0.0298 ,0.0074 ,35,0.2904
0.54,551,0.4704 ,2054,1.329,0.0303 ,0.0058 ,38,0.2977
0.554,571,0.4610 ,1918,1.3124,0.0307 ,0.0061 ,39,0.312
0.568,587,0.4455 ,2402,1.4995,0.0313 ,0.0055 ,41,0.3457
0.581,597,0.4214 ,3635,1.604,0.0332 ,0.0065 ,43,0.3531
0.594,608,0.4096 ,5402,1.5003,0.0342 ,0.0076 ,46,0.3904
0.606,620,0.4080 ,8095,1.462,0.0345 ,0.0053 ,49,0.3605
0.618,632,0.3991 ,6920,1.6156,0.0354 ,0.0033 ,50,0.3714
0.629,645,0.3926 ,9342,1.6619,0.0358 ,0.0048 ,50,0.3869
0.64,651,0.4107 ,6240,1.6075,0.0365 ,0.0056 ,51,0.3886
0.649,651,0.4134 ,4604,1.6976,0.0372 ,0.0059 ,52,0.5272
0.657,655,0.3938 ,3044,1.6137,0.0380 ,0.0062 ,56,0.3892
0.341,712,0.3998 ,37,1.7541,0.0417 ,0.0077 ,34,1.0561
0.364,714,0.4187 ,41,1.6828,0.0299 ,0.0102 ,35,0.6435
0.384,719,0.4404 ,57,1.612,0.0404 ,0.0125 ,36,1.0348
0.402,732,0.4633 ,60,1.7792,0.0411 ,0.0217 ,35,1.0092
0.419,738,0.4546 ,103,1.6962,0.0417 ,0.0137 ,35,1.0025
0.439,779,0.4226 ,187,1.7207,0.0429 ,0.0077 ,36,1.0103
0.456,790,0.3922 ,392,1.9364,0.0443 ,0.0110 ,36,1.0377
0.471,792,0.3849 ,494,1.8141,0.0459 ,0.0170 ,40,1.0104
0.486,795,0.3557 ,548,2.0493,0.0486 ,0.0178 ,40,1.0178
0.5,799,0.3563 ,1037,1.8629,0.0507 ,0.0158 ,44,0.9078
0.514,803,0.3518 ,1233,2.126,0.0514 ,0.0059 ,48,1.0058
0.527,808,0.3256 ,1452,2.0822,0.0521 ,0.0137 ,47,1.0062
0.54,803,0.3297 ,1830,2.0563,0.0521 ,0.0251 ,49,0.9561
0.552,804,0.3290 ,1559,2.1126,0.0528 ,0.0234 ,55,1.0726
0.564,799,0.3490 ,1443,2.0881,0.0535 ,0.0257 ,54,1.0127
0.575,795,0.4023 ,1024,1.9641,0.0542 ,0.0189 ,53,1.0015
0.586,799,0.4547 ,1042,1.86,0.0555 ,0.0198 ,54,1.0223
0.595,802,0.4796 ,953,2.2688,0.0562 ,0.0183 ,55,1.0053
0.603,804,0.4781 ,595,1.9456,0.0569 ,0.0186 ,57,1.0199
0.367,557,0.5296 ,303,1.2178,0.0219 ,0.0140 ,23,0.2859
0.39,562,0.5405 ,481,1.2077,0.0230 ,0.0148 ,24,0.2898
0.41,566,0.5461 ,462,1.166,0.0235 ,0.0126 ,25,0.3093
0.428,571,0.5395 ,701,1.2202,0.0242 ,0.0085 ,26,0.3483
0.445,575,0.5233 ,893,1.2936,0.0246 ,0.0064 ,27,0.3375
0.465,580,0.5213 ,1006,1.351,0.0249 ,0.0038 ,28,0.3692
0.482,584,0.5097 ,1258,1.3269,0.0251 ,0.0036 ,30,0.3784
0.497,588,0.4949 ,1463,1.3062,0.0253 ,0.0113 ,32,0.3677
0.512,591,0.4858 ,1949,1.3282,0.0255 ,0.0088 ,34,0.3714
0.526,594,0.4835 ,1912,1.4007,0.0268 ,0.0057 ,37,0.3903
0.54,594,0.4622 ,2594,1.5342,0.0284 ,0.0023 ,41,0.4066
0.553,597,0.4513 ,3681,1.4985,0.0288 ,0.0061 ,45,0.4228
0.566,600,0.4605 ,5139,1.4731,0.0295 ,0.0071 ,47,0.4487
0.578,602,0.4647 ,6949,1.5162,0.0300 ,0.0041 ,49,0.4661
0.59,604,0.4508 ,6075,1.7567,0.0310 ,0.0089 ,51,0.4841
0.601,604,0.4346 ,8704,1.745,0.0317 ,0.0049 ,52,0.4608
0.612,603,0.4411 ,6102,1.6134,0.0330 ,0.0058 ,52,0.4612
0.621,602,0.4397 ,4897,1.8943,0.0335 ,0.0028 ,56,0.4799
0.629,600,0.4212 ,2907,1.6926,0.0343 ,0.0040 ,60,0.4928
0.312,659,0.4140 ,437,1.2737,0.0320 ,0.0265 ,33,0.2309
0.335,679,0.4230 ,593,1.2957,0.0320 ,0.0397 ,37,0.2199
0.355,697,0.4312 ,550,1.2969,0.0319 ,0.0441 ,39,0.2273
0.373,711,0.4370 ,846,1.2873,0.0380 ,0.0421 ,46,0.2442
0.39,723,0.4560 ,1302,1.3591,0.0397 ,0.0389 ,51,0.2472
0.41,1057,0.4646 ,1966,1.2247,0.0462 ,0.0336 ,34,1.235
0.427,658,0.4745 ,3262,1.4029,0.0297 ,0.0348 ,42,0.2689
0.442,661,0.4698 ,4594,1.4693,0.0330 ,0.0278 ,49,0.2686
0.457,665,0.4591 ,7390,1.4383,0.0343 ,0.0286 ,51,0.2748
0.471,673,0.4553 ,12057,1.3966,0.0352 ,0.0292 ,54,0.2926
0.485,726,0.4254 ,15413,1.3519,0.0383 ,0.0303 ,52,0.2975
0.498,688,0.4156 ,24624,1.3985,0.0374 ,0.0303 ,58,0.305
0.511,696,0.3949 ,34824,1.4718,0.0403 ,0.0287 ,62,0.3215
0.523,780,0.3684 ,37062,1.4104,0.0407 ,0.0263 ,61,0.3289
0.535,801,0.3566 ,25327,1.5049,0.0420 ,0.0253 ,64,0.3414
0.546,819,0.3534 ,27536,1.5262,0.0439 ,0.0252 ,72,0.3566
0.557,827,0.3602 ,26709,1.4495,0.0443 ,0.0071 ,72,0.3661
0.566,842,0.3619 ,29128,1.5179,0.0443 ,0.0070 ,74,0.3681
0.574,861,0.3663 ,22370,1.5182,0.0450 ,0.0057 ,80,0.3692
0.289,1140,0.4918 ,76,1.47,0.0285 ,0.0383 ,20,0.2788
0.312,1149,0.5361 ,160,1.6535,0.0352 ,0.0410 ,20,0.3421
0.332,1157,0.5515 ,362,1.6454,0.0354 ,0.0452 ,22,0.4399
0.35,1160,0.5837 ,810,1.6772,0.0381 ,0.0437 ,24,0.6263
0.367,1160,0.6043 ,1042,1.694,0.0392 ,0.0427 ,25,0.3218
0.387,1057,0.6028 ,1101,1.6243,0.0402 ,0.0422 ,30,0.3276
0.404,591,0.6589 ,1858,1.7377,0.0242 ,0.0445 ,39,0.3193
0.419,591,0.6587 ,3302,1.6891,0.0249 ,0.0501 ,41,0.3166
0.434,592,0.6430 ,5650,1.4924,0.0257 ,0.0547 ,42,0.3143
0.448,592,0.6391 ,8920,1.4844,0.0266 ,0.0617 ,49,0.3241
0.462,595,0.5277 ,11802,1.4942,0.0274 ,0.0681 ,51,0.3402
0.475,595,0.5580 ,15839,1.3707,0.0285 ,0.0651 ,53,0.3488
0.488,599,0.5478 ,18604,1.4886,0.0290 ,0.0635 ,56,0.3612
0.5,602,0.5218 ,28051,1.4367,0.0297 ,0.0623 ,59,0.3755
0.512,606,0.4856 ,7733,1.5615,0.0305 ,0.0565 ,60,0.3747
0.523,607,0.4695 ,9680,1.4655,0.0414 ,0.0572 ,74,0.3754
0.534,611,0.4716 ,7766,1.394,0.0421 ,0.0525 ,75,0.3999
0.543,621,0.4633 ,7897,1.4999,0.0441 ,0.0037 ,74,0.4136
0.551,625,0.4601 ,5672,1.4947,0.0443 ,0.0039 ,73,0.4221
0.256,741,0.5729 ,111,0.4166,0.0391 ,0.0247 ,27,0.3629
0.279,747,0.6419 ,91,0.5351,0.0405 ,0.0334 ,29,0.3292
0.299,753,0.6685 ,94,0.55,0.0415 ,0.0482 ,26,0.3159
0.317,759,0.6796 ,164,0.5099,0.0427 ,0.0562 ,28,0.3085
0.334,763,0.6647 ,164,0.6547,0.0451 ,0.0630 ,32,0.3149
0.354,1307,0.6313 ,248,0.6591,0.0466 ,0.0612 ,20,0.2714
0.371,541,0.6808 ,437,1.519,0.0205 ,0.0610 ,30,0.3262
0.386,542,0.6636 ,926,1.4894,0.0212 ,0.0760 ,31,0.3426
0.401,538,0.6057 ,1951,1.3859,0.0220 ,0.0960 ,33,0.3334
0.415,538,0.5766 ,2987,1.5073,0.0227 ,0.0927 ,37,0.3148
0.429,538,0.5246 ,3525,1.5322,0.0388 ,0.0994 ,39,0.3203
0.442,538,0.5078 ,4989,1.5229,0.0395 ,0.1012 ,39,0.322
0.455,538,0.5119 ,5696,1.6457,0.0405 ,0.0953 ,42,0.3384
0.467,538,0.4859 ,6055,1.5002,0.0410 ,0.0904 ,44,0.338
0.479,536,0.4808 ,4912,1.569,0.0411 ,0.0892 ,48,0.3609
0.49,533,0.4682 ,7586,1.5097,0.0415 ,0.0937 ,68,0.3636
0.501,533,0.4853 ,4676,1.4625,0.0420 ,0.0003 ,71,0.3538
0.51,541,0.4739 ,5049,1.5512,0.0428 ,0.0041 ,71,0.3804
0.518,542,0.4652 ,3809,1.5373,0.0430 ,0.0047 ,73,0.3767
0.223,241,0.5403 ,17,1.6005,0.0300 ,0.0203 ,44,1.0788
0.246,244,0.5545 ,32,1.4792,0.0300 ,0.0261 ,45,1.0028
0.266,246,0.5752 ,25,1.4614,0.0375 ,0.0262 ,43,1.0062
0.284,247,0.5713 ,46,1.5034,0.0391 ,0.0406 ,44,0.9522
0.301,247,0.5736 ,148,1.4719,0.0391 ,0.0486 ,50,1.0001
0.321,522,0.5933 ,231,1.6503,0.0400 ,0.0489 ,25,1.0011
0.338,244,0.5470 ,359,1.5579,0.0516 ,0.0476 ,57,1.0146
0.353,245,0.5567 ,605,1.5157,0.0433 ,0.0545 ,64,0.934
0.368,246,0.5447 ,1442,1.5675,0.0620 ,0.0519 ,68,0.7495
0.382,247,0.5384 ,1327,1.5888,0.0620 ,0.0198 ,77,0.6374
0.396,477,0.5339 ,1985,1.6588,0.0271 ,0.0214 ,43,0.4968
0.409,469,0.4925 ,2126,1.8718,0.0323 ,0.0197 ,62,0.578
0.422,461,0.4940 ,1651,2.0722,0.0323 ,0.0205 ,61,0.487
0.434,455,0.5001 ,1907,2.0923,0.0324 ,0.0242 ,69,0.5557
0.446,447,0.4559 ,961,2.1773,0.0331 ,0.0295 ,70,0.6103
0.457,439,0.4612 ,1073,2.2321,0.0331 ,0.0300 ,76,0.6758
0.468,437,0.4972 ,894,2.0821,0.0363 ,0.0276 ,75,0.8609
0.477,435,0.4744 ,876,1.9354,0.0363 ,0.0005 ,75,0.9111
0.485,435,0.4628 ,686,1.9086,0.0364 ,0.0011 ,74,1.0058
0.278,396,0.3778 ,24,2.3972,0.0034 ,0.0074 ,18,0.2735
0.301,397,0.4173 ,22,2.5398,0.0036 ,0.0085 ,21,0.2798
0.321,396,0.4209 ,28,2.5623,0.0041 ,0.0177 ,20,0.3138
0.339,319,0.4296 ,37,2.9113,0.0043 ,0.0184 ,26,0.3229
0.356,364,0.4869 ,78,3.368,0.0047 ,0.0178 ,25,0.3088
0.376,347,0.4528 ,121,3.1999,0.0050 ,0.0166 ,28,0.2854
0.393,346,0.5490 ,180,1.312,0.0052 ,0.0179 ,30,0.3388
0.408,347,0.4811 ,259,1.3883,0.0053 ,0.0175 ,33,0.3284
0.423,349,0.4749 ,1061,1.371,0.0053 ,0.0244 ,34,0.318
0.437,349,0.4860 ,2258,1.2432,0.0157 ,0.0123 ,35,0.3405
0.451,353,0.4784 ,5689,1.2345,0.0147 ,0.0081 ,32,0.3328
0.464,341,0.4707 ,10740,1.2601,0.0162 ,0.0075 ,40,0.3599
0.477,316,0.4784 ,4104,1.2824,0.0165 ,0.0071 ,46,0.3716
0.489,315,0.4514 ,5198,1.3603,0.0174 ,0.0081 ,50,0.3784
0.501,313,0.4405 ,2981,1.4421,0.0195 ,0.0092 ,52,0.3786
0.512,308,0.4280 ,3841,1.4977,0.0226 ,0.0101 ,64,0.3588
0.523,308,0.4318 ,2821,3.0944,0.0227 ,0.0102 ,65,0.3608
0.532,307,0.4286 ,2256,3.0391,0.0230 ,0.0067 ,71,0.3604
0.54,304,0.4253 ,1619,2.833,0.0236 ,0.0103 ,70,0.359
0.245,304,0.3839 ,17,2.609,0.0024 ,0.0137 ,13,0.4327
0.268,303,0.3989 ,28,2.7043,0.0029 ,0.0230 ,13,0.312
0.288,304,0.4113 ,54,2.7938,0.0031 ,0.0274 ,14,0.3949
0.306,305,0.4272 ,76,2.9226,0.0032 ,0.0137 ,20,0.4333
0.323,304,0.4496 ,152,2.9108,0.0037 ,0.0124 ,19,0.4334
0.343,291,0.4638 ,162,2.5356,0.0044 ,0.0143 ,20,0.433
0.36,290,0.4603 ,419,2.4811,0.0052 ,0.0244 ,23,0.4625
0.375,291,0.4554 ,1240,2.3832,0.0057 ,0.0310 ,25,0.4854
0.39,291,0.4643 ,2803,2.1925,0.0061 ,0.0358 ,27,0.4656
0.404,292,0.4664 ,4199,2.1746,0.0061 ,0.0405 ,28,0.477
0.418,293,0.4848 ,5269,2.1054,0.0062 ,0.0409 ,29,0.5445
0.431,293,0.4654 ,6685,2.0026,0.0063 ,0.0393 ,38,0.5648
0.444,293,0.4811 ,5989,2.0836,0.0064 ,0.0375 ,43,0.6083
0.456,294,0.4891 ,7047,2.0279,0.0066 ,0.0376 ,45,0.6606
0.468,294,0.4841 ,3236,2.1207,0.0068 ,0.0361 ,51,1.0232
0.479,295,0.4807 ,4826,2.0482,0.0077 ,0.0379 ,63,0.5717
0.49,295,0.4886 ,4753,1.8405,0.0082 ,0.0358 ,62,0.5476
0.499,300,0.4912 ,4418,1.848,0.0089 ,0.0032 ,69,0.5556
0.507,300,0.4925 ,2763,1.7905,0.0089 ,0.0036 ,68,0.6004
0.212,575,0.3770 ,9,2.3018,0.0060 ,0.0205 ,22,0.7688
0.235,571,0.3857 ,10,2.4037,0.0076 ,0.0259 ,24,1.0223
0.255,571,0.3871 ,15,2.2925,0.0100 ,0.0307 ,24,1.0276
0.273,571,0.3997 ,16,2.4064,0.0105 ,0.0363 ,27,1.0156
0.29,567,0.4293 ,42,2.272,0.0112 ,0.0378 ,28,0.7107
0.31,559,0.4662 ,70,2.1826,0.0140 ,0.0362 ,30,0.7432
0.327,555,0.4876 ,178,2.1495,0.0143 ,0.0328 ,33,0.8143
0.342,555,0.4836 ,313,2.1522,0.0147 ,0.0347 ,36,0.8251
0.357,547,0.4781 ,601,2.0061,0.0147 ,0.0382 ,40,1.4243
0.371,547,0.4731 ,1073,2.0237,0.0147 ,0.0401 ,40,0.8954
0.385,543,0.4613 ,1524,2.0696,0.0147 ,0.0426 ,46,0.9221
0.398,539,0.4536 ,1846,2.0853,0.0147 ,0.0409 ,46,0.9227
0.411,535,0.4468 ,1473,2.203,0.0147 ,0.0401 ,48,0.9138
0.423,535,0.4418 ,1727,2.3946,0.0150 ,0.0368 ,54,1.0067
0.435,535,0.4390 ,514,3.5372,0.0164 ,0.0339 ,59,1.0588
0.446,535,0.4351 ,988,2.662,0.0164 ,0.0374 ,67,0.947
0.457,531,0.4548 ,633,2.3282,0.0176 ,0.0344 ,70,1.0072
0.466,531,0.4498 ,788,2.4275,0.0196 ,0.0010 ,72,1.0101
0.474,527,0.4396 ,555,2.4413,0.0204 ,0.0010 ,72,1.0034
0.267,209,0.3732 ,19,2.3512,0.0019 ,0.0171 ,23,0.2497
0.29,209,0.3877 ,40,2.391,0.0020 ,0.0209 ,23,0.2407
0.31,209,0.4251 ,44,2.1381,0.0022 ,0.0210 ,27,0.3092
0.328,209,0.4152 ,43,2.4828,0.0027 ,0.0220 ,30,0.3067
0.345,209,0.4249 ,89,2.4214,0.0031 ,0.0237 ,31,0.251
0.365,206,0.4595 ,124,2.0926,0.0035 ,0.0267 ,31,0.2901
0.382,205,0.5062 ,213,2.0799,0.0039 ,0.0312 ,34,0.3271
0.397,205,0.5091 ,863,2.0553,0.0039 ,0.0396 ,32,0.3437
0.412,205,0.5184 ,1484,1.9057,0.0040 ,0.0448 ,40,0.3433
0.426,205,0.0904 ,2330,1.8514,0.0041 ,0.0492 ,42,0.3439
0.44,205,0.4940 ,2354,1.8487,0.0042 ,0.0552 ,45,0.342
0.453,204,0.4801 ,2541,1.8158,0.0045 ,0.0547 ,47,0.3364
0.466,204,0.4726 ,2656,1.8926,0.0047 ,0.0524 ,51,0.3375
0.478,204,0.4697 ,3996,1.8806,0.0050 ,0.0555 ,54,0.3292
0.49,203,0.4688 ,1754,1.9617,0.0051 ,0.0541 ,58,0.3368
0.501,203,0.4685 ,2302,1.9285,0.0053 ,0.0019 ,63,0.3554
0.512,202,0.4783 ,2138,1.7237,0.0057 ,0.0032 ,64,0.3549
0.521,202,0.4678 ,2767,1.8254,0.0061 ,0.0023 ,70,0.3626
0.529,202,0.4644 ,1612,1.8358,0.0097 ,0.0015 ,72,0.2683
